0,0;-0,578
2,7;-0,274
2,7;-0,245
3,6;-0,003
6,1;0,134
6,9;0,222
13,3;1,839
18,0;1,770
22,2;1,031
24,8;0,401
27,4;-0,263
30,6;-0,596
32,1;-1,044
32,6;-1,566
32,5;-1,131
36,8;-1,474
37,7;-0,719
50,8;-0,943
51,4;-1,251
52,0;-0,975
65,4;-0,897
